STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; LUFTTEMPERATUR; REL_FEUCHTE; eor                                                                                                          
    13667;  2018061806;   2;0;   17.5;   69;eor                                                                                                                                                         
    13667;  2018061807;   2;0;   21.0;   59;eor                                                                                                                                                         
    13667;  2018061808;   2;0;   20.9;   52;eor                                                                                                                                                         
    13667;  2018061809;   2;0;   23.9;   45;eor                                                                                                                                                         
    13667;  2018061810;   2;0;   24.3;   43;eor                                                                                                                                                         
    13667;  2018061811;   2;0;   24.1;   41;eor                                                                                                                                                         
    13667;  2018061812;   2;0;   24.8;   39;eor                                                                                                                                                         
    13667;  2018061813;   2;0;   25.5;   37;eor                                                                                                                                                         
    13667;  2018061814;   2;0;   26.5;   37;eor                                                                                                                                                         
    13667;  2018061815;   2;0;   24.1;   44;eor                                                                                                                                                         
    13667;  2018061816;   2;0;   25.3;   41;eor                                                                                                                                                         
    13667;  2018061817;   2;0;   25.0;   43;eor                                                                                                                                                         
    13667;  2018061818;   2;0;   24.1;   48;eor                                                                                                                                                         
    13667;  2018061819;   2;0;   22.4;   52;eor                                                                                                                                                         
    13667;  2018061820;   2;0;   20.9;   59;eor                                                                                                                                                         
    13667;  2018061821;   2;0;   19.9;   64;eor                                                                                                                                                         
    13667;  2018061822;   2;0;   19.0;   66;eor                                                                                                                                                         
    13667;  2018061823;   2;0;   18.3;   69;eor                                                                                                                                                         
    13667;  2018061900;   2;0;   17.5;   71;eor                                                                                                                                                         
    13667;  2018061901;   2;0;   16.8;   74;eor                                                                                                                                                         
    13667;  2018061902;   2;0;   17.0;   73;eor                                                                                                                                                         
    13667;  2018061903;   2;0;   16.9;   71;eor                                                                                                                                                         
    13667;  2018061904;   2;0;   16.5;   75;eor                                                                                                                                                         
    13667;  2018061905;   2;0;   17.5;   70;eor                                                                                                                                                         
    13667;  2018061906;   2;0;   18.2;   69;eor                                                                                                                                                         
    13667;  2018061907;   2;0;   19.5;   64;eor                                                                                                                                                         
    13667;  2018061908;   2;0;   22.4;   58;eor                                                                                                                                                         
    13667;  2018061909;   2;0;   25.7;   46;eor                                                                                                                                                         
    13667;  2018061910;   2;0;   25.2;   46;eor                                                                                                                                                         
    13667;  2018061911;   2;0;   26.0;   44;eor                                                                                                                                                         
    13667;  2018061912;   2;0;   27.4;   42;eor                                                                                                                                                         
    13667;  2018061913;   2;0;   27.0;   42;eor                                                                                                                                                         
    13667;  2018061914;   2;0;   28.2;   42;eor                                                                                                                                                         
    13667;  2018061915;   2;0;   28.8;   42;eor                                                                                                                                                         
    13667;  2018061916;   2;0;   28.1;   42;eor                                                                                                                                                         
    13667;  2018061917;   2;0;   26.9;   43;eor                                                                                                                                                         
    13667;  2018061918;   2;0;   27.0;   44;eor                                                                                                                                                         
    13667;  2018061919;   2;0;   24.6;   53;eor                                                                                                                                                         
    13667;  2018061920;   2;0;   23.5;   58;eor                                                                                                                                                         
    13667;  2018061921;   2;0;   22.2;   63;eor                                                                                                                                                         
    13667;  2018061922;   2;0;   20.9;   69;eor                                                                                                                                                         
    13667;  2018061923;   2;0;   20.0;   74;eor                                                                                                                                                         
    13667;  2018062000;   2;0;   19.2;   78;eor                                                                                                                                                         
    13667;  2018062001;   2;0;   18.4;   81;eor                                                                                                                                                         
    13667;  2018062002;   2;0;   17.8;   83;eor                                                                                                                                                         
    13667;  2018062003;   2;0;   17.2;   84;eor                                                                                                                                                         
    13667;  2018062004;   2;0;   16.6;   90;eor                                                                                                                                                         
    13667;  2018062005;   2;0;   17.2;   83;eor                                                                                                                                                         
    13667;  2018062006;   2;0;   18.4;   78;eor                                                                                                                                                         
    13667;  2018062007;   2;0;   22.4;   66;eor                                                                                                                                                         
    13667;  2018062008;   2;0;   25.1;   54;eor                                                                                                                                                         
    13667;  2018062009;   2;0;   25.2;   56;eor                                                                                                                                                         
    13667;  2018062010;   2;0;   27.1;   51;eor                                                                                                                                                         
    13667;  2018062011;   2;0;   28.3;   49;eor                                                                                                                                                         
    13667;  2018062012;   2;0;   30.1;   43;eor                                                                                                                                                         
    13667;  2018062013;   2;0;   29.5;   46;eor                                                                                                                                                         
    13667;  2018062014;   2;0;   30.0;   44;eor                                                                                                                                                         
    13667;  2018062015;   2;0;   30.0;   46;eor                                                                                                                                                         
    13667;  2018062016;   2;0;   30.7;   44;eor                                                                                                                                                         
    13667;  2018062017;   2;0;   29.7;   43;eor                                                                                                                                                         
    13667;  2018062018;   2;0;   29.1;   45;eor                                                                                                                                                         
    13667;  2018062019;   2;0;   28.2;   44;eor                                                                                                                                                         
    13667;  2018062020;   2;0;   26.7;   53;eor                                                                                                                                                         
    13667;  2018062021;   2;0;   25.2;   61;eor                                                                                                                                                         
    13667;  2018062022;   2;0;   24.2;   63;eor                                                                                                                                                         
    13667;  2018062023;   2;0;   23.4;   65;eor                                                                                                                                                         
    13667;  2018062100;   2;0;   22.2;   71;eor                                                                                                                                                         
    13667;  2018062101;   2;0;   22.0;   69;eor                                                                                                                                                         
    13667;  2018062102;   2;0;   20.9;   76;eor                                                                                                                                                         
    13667;  2018062103;   2;0;   20.6;   75;eor                                                                                                                                                         
    13667;  2018062104;   2;0;   20.3;   77;eor                                                                                                                                                         
    13667;  2018062105;   2;0;   20.8;   74;eor                                                                                                                                                         
    13667;  2018062106;   2;0;   22.2;   70;eor                                                                                                                                                         
    13667;  2018062107;   2;0;   24.7;   56;eor                                                                                                                                                         
    13667;  2018062108;   2;0;   25.4;   51;eor                                                                                                                                                         
    13667;  2018062109;   2;0;   26.7;   47;eor                                                                                                                                                         
    13667;  2018062110;   2;0;   27.8;   47;eor                                                                                                                                                         
    13667;  2018062111;   2;0;   27.4;   40;eor                                                                                                                                                         
