Tag;Stunde;SUM_GS200;AVG_TA200
16.12.2018;06:00;,00;-,92
16.12.2018;07:00;,00;-,57
16.12.2018;08:00;,00;2,65
16.12.2018;09:00;29,18;4,02
16.12.2018;10:00;66,08;5,05
16.12.2018;11:00;140,60;5,68
16.12.2018;12:00;292,20;6,84
16.12.2018;13:00;293,10;7,86
16.12.2018;14:00;224,13;8,27
16.12.2018;15:00;96,48;7,53
16.12.2018;16:00;,00;5,02
16.12.2018;17:00;,00;3,24
16.12.2018;18:00;,00;2,38
16.12.2018;19:00;,00;2,08
16.12.2018;20:00;,00;2,20
16.12.2018;21:00;,00;1,88
16.12.2018;22:00;,00;1,45
16.12.2018;23:00;,00;1,60
17.12.2018;00:00;,00;,93
17.12.2018;01:00;,00;,76
17.12.2018;02:00;,00;1,20
17.12.2018;03:00;,00;1,46
17.12.2018;04:00;,00;1,47
17.12.2018;05:00;,00;1,27
17.12.2018;06:00;,00;1,22
17.12.2018;07:00;,00;1,37
17.12.2018;08:00;,00;,99
17.12.2018;09:00;62,22;2,96
17.12.2018;10:00;68,60;6,16
17.12.2018;11:00;57,55;6,39
17.12.2018;12:00;123,22;6,35
17.12.2018;13:00;264,32;7,58
17.12.2018;14:00;83,32;6,91
17.12.2018;15:00;48,68;6,99
17.12.2018;16:00;,00;6,67
17.12.2018;17:00;,00;6,38
17.12.2018;18:00;,00;6,71
17.12.2018;19:00;,00;6,76
17.12.2018;20:00;,00;6,64
17.12.2018;21:00;,00;6,70
17.12.2018;22:00;,00;5,91
17.12.2018;23:00;,00;5,35
18.12.2018;00:00;,00;4,43
18.12.2018;01:00;,00;3,48
18.12.2018;02:00;,00;2,88
18.12.2018;03:00;,00;2,13
18.12.2018;04:00;,00;1,42
18.12.2018;05:00;,00;1,42
18.12.2018;06:00;,00;1,12
18.12.2018;07:00;,00;1,14
18.12.2018;08:00;,00;,26
18.12.2018;09:00;43,67;-,40
18.12.2018;10:00;254,00;,59
18.12.2018;11:00;287,40;2,41
18.12.2018;12:00;277,33;3,45
18.12.2018;13:00;254,42;5,11
18.12.2018;14:00;189,68;5,87
18.12.2018;15:00;82,78;5,14
18.12.2018;16:00;12,00;3,51
18.12.2018;17:00;,00;1,93
18.12.2018;18:00;,00;1,38
18.12.2018;19:00;,00;,91
18.12.2018;20:00;,00;,28
18.12.2018;21:00;,00;,10
18.12.2018;22:00;,00;,27
18.12.2018;23:00;,00;-,16
19.12.2018;00:00;,00;,33
19.12.2018;01:00;,00;,60
19.12.2018;02:00;,00;,77
19.12.2018;03:00;,00;1,64
19.12.2018;04:00;,00;3,13
19.12.2018;05:00;,00;4,86
19.12.2018;06:00;,00;4,86
19.12.2018;07:00;,00;9,70
19.12.2018;08:00;,00;9,63
19.12.2018;09:00;,00;9,94
19.12.2018;10:00;11,93;9,44
19.12.2018;11:00;47,00;9,15
19.12.2018;12:00;50,90;9,28
19.12.2018;13:00;59,90;9,74
19.12.2018;14:00;50,85;10,14
19.12.2018;15:00;11,70;9,40
19.12.2018;16:00;,00;7,71
19.12.2018;17:00;,00;6,73
19.12.2018;18:00;,00;6,48
